Year,Area,Colony,Sex,BodyMass,WingLength,WBone,Age,Siblings
2011,D_V,NAGYSAR,Male,147,121,55.5,18,3
2011,D_V,NAGYSAR,Female,169,132,56.42,18,3
2011,D_V,NAGYSAR,Male,155,128,58.42,18,3
2011,D_V,KIRHEGY,Male,153,159,58.36,19,2
2011,D_V,KIRHEGY,Female,179,158,57.54,19,2
2011,D_V,KIRHEGY,Female,165,132,56.98,18,2
2011,D_V,KIRHEGY,Female,166,152,57.96,20,2
2011,D_V,KIRHEGY,Male,155,129,57.7,18,2
2011,D_V,KIRHEGY,Female,163,156,59.94,20,2
2011,D_V,KIRHEGY,Female,160,136,56.07,19,3
2011,D_V,KIRHEGY,Female,166,134,59.96,18,3
2011,D_V,KIRHEGY,Female,170,138,58.86,19,3
2011,D_V,ZSOMBEK,Female,159,155,56.3,20,0
2011,D_V,KOPANCS,Female,150,150,58.52,20,0
2011,D_V,KOPANCS,Female,167,170,58.66,20,0
2011,D_V,KOPANCS,Female,148,156,56.02,20,2
2011,D_V,KOPANCS,Female,159,132,54.8,19,2
2011,D_V,KOPANCS,Male,169,150,58.9,20,2
2011,D_V,KOPANCS,Female,167,155,57.77,19.5,2
2011,D_V,KOPANCS,Female,166,150,60.37,19,2
2011,D_V,KOPANCS,Female,150,142,57.94,18,2
2011,D_V,NAGYSAR,Female,170,132,56.9,18,3
2011,D_V,NAGYSAR,Male,156,127,56.6,18,3
2011,D_V,NAGYSAR,Male,168,134,58.14,18,3
2011,D_V,NAGYSAR,Male,171,143,58.9,18,3
2011,D_V,KARASZ,Male,155,144,57.75,19,3
2011,D_V,KARASZ,Female,165,162,57.6,20,3
2011,D_V,KARASZ,Female,177,146,57.94,18,0
2011,D_V,KARASZ,Female,176,137,54.78,19,1
2011,D_V,KARASZ,Male,187,106,53.76,18,1
2011,CS_B,REKET,Female,153,143,59.27,18.5,1
2011,CS_B,REKET,Female,157,127,57.08,18,1
2011,CS_B,REKET,Female,149,144,58.86,19,2
2011,CS_B,REKET,Female,144,136,56.22,19,2
2011,CS_B,REKET,Female,179,157,60.39,20,1
2011,CS_B,REKET,Male,133,131,53.8,18,1
2011,CS_B,REKET,Female,162,138,58.26,19,1
2011,CS_B,REKET,Male,167,125,60.39,18.5,3
2011,CS_B,REKET,Female,165,146,60,19,3
2011,CS_B,REKET,Male,155,137,60,19,3
2011,CS_B,REKET,Female,151,137,60.55,19,3
2011,CS_B,REKET,Female,153,118,56.9,18.5,3
2011,CS_B,REKET,Female,161,132,57.21,18,3
2011,CS_B,REKET,Female,143,131,56.22,19,3
2011,CS_B,REKET,Female,161,137,58.84,19,3
2011,CS_B,REKET,Male,150,140,58.24,19,2
2011,CS_B,REKET,Female,164,149,58.24,20,2
2011,CS_B,REKET,Male,145,130,58.46,18.5,2
2011,CS_B,REKET,Female,149,152,59,20,3
2011,CS_B,REKET,Female,151,147,60.2,19,3
2011,CS_B,REKET,Female,165,151,61.78,19,3
2011,CS_B,REKET,Female,150,138,56.56,18,3
2011,CS_B,REKET,Female,165,148,59.78,19,3
2011,CS_B,REKET,Female,153,127,58.26,18,3
2011,CS_B,REKET,Female,154,135,58.22,19,3
2011,CS_B,REKET,Female,163,140,60.93,19.5,3
2011,CS_B,REKET,Female,157,135,59.2,19,3
2011,CS_B,REKET,Female,149,136,58.46,19,2
2011,CS_B,REKET,Male,142,131,57.17,18,2
2011,CS_B,REKET,Male,140,136,55.42,19,3
2011,CS_B,REKET,Female,133,130,52.8,19,3
2011,CS_B,REKET,Male,156,133,55.98,19,3
2011,CS_B,REKET,Male,140,138,53.96,19,3
2011,CS_B,REKET,Female,181,148,60.3,20,3
2011,CS_B,REKET,Female,149,127,57.84,18,3
2011,CS_B,REKET,Female,141,129,57.6,18,3
2011,CS_B,REKET,Female,159,133,59.84,19,3
2011,CS_B,REKET,Female,182,137,60.22,20,0
2011,CS_B,REKET,Female,166,133,58.6,19,3
2011,CS_B,REKET,Female,184,150,60,20,3
2011,CS_B,REKET,Female,162,155,58.54,20,3
2011,CS_B,REKET,Female,162,142,57.68,19,3
2011,CS_B,REKET,Female,163,128,54.52,18.5,3
2011,CS_B,REKET,Female,168,150,58.73,19,3
2011,CS_B,REKET,Female,139,137,51.47,19,3
2011,CS_B,REKET,Female,151,151,59.88,19,3
2011,CS_B,REKET,Female,163,147,60.11,19,3
2011,CS_B,REKET,Female,161,141,59,19,3
2011,CS_B,REKET,Female,138,135,59.83,18,3
2011,E_V,PECZ,Female,163,138,59.9,19,3
2011,E_V,PECZ,Male,158,141,58.26,19,3
2011,E_V,PECZ,Female,168,135,59.24,18,3
2011,E_V,PECZ,Male,183,145,59.1,19,2
2011,E_V,PECZ,Female,180,142,58.6,18.5,3
2011,E_V,PECZ,Female,189,153,60.34,20,3
2011,E_V,PECZ,Female,173,153,59.55,20,3
2011,E_V,TANYSZEL,Female,168,136,61.1,18,3
2011,E_V,TANYSZEL,Female,161,144,60.14,20,3
2011,E_V,TANYSZEL,Male,163,134,60,19,3
2011,E_V,TANYSZEL,Female,154,141,59.14,20,3
2011,E_V,TANYSZEL,Female,154,140,59.15,20,3
2011,E_V,FICS,Male,177,140,62.44,19,3
2011,E_V,FICS,Female,181,141,60.48,18,3
2011,E_V,CSAJ,Female,173,150,60.08,19.5,3
2011,E_V,CSAJ,Female,179,142,58.07,19.5,3
2011,E_V,CSAJ,Female,193,143,60.29,19,3
2011,E_V,CSAJ,Female,173,147,57.5,20,3
2011,E_V,PECZ,Female,159,150,58.19,20,3
2011,E_V,PECZ,Male,138,155,55.84,19.5,3
2011,E_V,PECZ,Female,145,154,59.31,20,3
2011,E_V,PECZ,Male,146,142,58.4,19,3
2011,E_V,PECZ,Female,167,146,57.44,20,2
2011,E_V,PECZ,Female,171,144,56.28,20,2
2011,E_V,PECZ,Male,161,128,58.08,18,2
2011,E_V,PECZ,Male,169,139,59.7,19,3
2011,E_V,PECZ,Female,170,137,60.45,19,3
2011,E_V,PECZ,Female,170,128,56.62,19,3
2011,E_V,PECZ,Female,167,137,59.17,19,3
2011,E_V,PECZ,Female,154,138,61.83,20,3
2011,E_V,PECZ,Male,159,125,61.78,18,3
2011,E_V,PECZ,Female,171,138,62.28,19,3
2011,E_V,PECZ,Female,192,161,63.21,20,2
2011,E_V,PECZ,Female,176,156,61.23,19,2
2011,E_V,PECZ,Female,163,150,60.2,20,3
2011,E_V,PECZ,Female,164,145,60.8,19,1
2011,E_V,PECZ,Female,156,134,59.39,18,1
2011,E_V,PECZ,Female,148,137,58.39,19,2
2011,E_V,PECZ,Female,149,153,59.42,20,3
2011,E_V,PECZ,Female,172,132,59.7,18,3
2011,E_V,PECZ,Male,154,143,58.72,19,3
2011,E_V,TANYSZEL,Female,181,141,62.71,19,3
2011,E_V,TANYSZEL,Female,156,127,60.26,18,3
2011,E_V,TANYSZEL,Female,160,142,60.38,19,3
2011,E_V,TANYSZEL,Male,162,136,60.82,19,3
2011,E_V,TANYSZEL,Female,158,156,59.96,19,3
2011,E_V,TANYSZEL,Male,159,135,59.06,18,3
2011,E_V,TANYSZEL,Female,164,153,61.9,20,3
2011,E_V,TANYSZEL,Female,177,143,62.18,19,3
2011,E_V,PECZ,Female,165,135,59.22,18,3
2011,E_V,PECZ,Male,161,144,60.34,19,3
2011,E_V,PECZ,Female,162,154,59.72,20,3
2011,E_V,PECZ,Female,161,145,60.06,19,3
2011,E_V,PECZ,Female,157,139,60.1,18,3
2011,E_V,PECZ,Female,157,139,61.14,19,3
2011,E_V,PECZ,Male,146,144,61.24,19.5,3
2011,E_V,PECZ,Female,157,130,59.54,19,2
