HELY,IVAR,TOMEG,SZARNY,J_CSUD,B_CSUD
B,M,42.2,110,30.7,30.6
B,F,36.4,105,28.7,28.8
B,M,40.4,107,31,30.8
C,F,43.8,111,27.6,27.5
C,M,41.2,107,28.2,28.3
C,M,40.2,115,31.8,31.6
C,M,40.2,108,27.9,27.8
C,M,39.2,109,29.6,29.7
C,F,40.4,102,27.3,27.1
C,F,42.2,110,28.6,28.5
C,M,40,114,30.1,30.2
C,F,41.8,109,27.8,27.6
C,M,41.4,108,31,30.9
C,F,40.4,113,30.3,30.4
C,F,44.2,108,29.3,29.1
C,M,41.2,111,28.2,28.1
B,F,40.6,105,29.1,29.2
B,F,40,109,29.2,29
B,M,46.8,112,29.1,29
B,F,38.4,103,26.6,26.7
B,F,42.8,109,29.8,29.6
B,M,38.4,109,28.4,28.3
B,F,42,106,28.2,28.3
B,M,39.6,112,29,28.8
B,M,41.8,107,29.2,29.1
B,M,39.4,109,28.3,28.4
B,F,38.6,109,28.3,28.1
B,M,40.4,107,28.4,28.3
B,M,42.2,110,29.3,29.4
C,F,42.4,109,29.1,28.9
C,M,40.2,110,29.9,29.8
C,M,41.8,105,29,29.1
C,F,39.2,107,26.9,26.7
C,M,43.4,114,30.8,30.7
C,M,44.8,109,30,30.1
C,F,44,107,28.3,28.1
C,F,41.8,107,29.4,29.3
C,M,41,108,30.5,30.6
C,F,41.8,113,27.6,27.4
C,M,43.4,114,28.9,28.8
C,M,40.2,107,28.8,28.9
C,F,41.2,106,27.6,27.4
C,F,45.6,106,28.2,28.1
C,M,40.2,109,28.2,28.3
C,F,39.2,109,28.2,28
C,F,40.4,108,27.1,27
C,F,39.2,109,29.7,29.8
C,F,41.6,108,28.6,28.4
C,M,39.6,108,28,27.9
C,F,44.4,106,28.9,29
C,F,45.4,107,28.5,28.3
C,F,40.4,107,28.4,28.3
C,M,46.2,107,30.3,30.4
C,F,43.8,109,27.8,27.6
C,M,43.4,112,29.5,29.4
C,F,41.8,103,28.2,28.3
C,F,42.6,110,29.6,29.4
C,F,45.4,109,27.2,27.1
C,M,37.4,105,27.7,27.8
C,M,40.2,106,28.8,28.6
C,F,42.8,108,27.1,27
C,M,42.4,106,29.4,29.5
C,F,40.8,106,29,28.8
C,M,42.6,107,27.5,27.4
